order_id,customer_id,order_date,payment_method,order_status
1,123,2026-07-21,card,completed
2,77,2025-10-06,naver_pay,cancelled
3,138,2026-02-02,bank_transfer,cancelled
4,57,2026-04-15,kakao_pay,cancelled
5,125,2026-03-06,card,cancelled
6,87,2026-06-04,naver_pay,completed
7,120,2026-02-11,bank_transfer,refunded
8,137,2025-10-17,card,cancelled
9,145,2026-04-05,card,completed
10,110,2026-05-30,bank_transfer,cancelled
11,47,2026-01-31,card,completed
12,98,2025-09-25,kakao_pay,completed
13,117,2026-08-16,kakao_pay,completed
14,98,2026-03-03,kakao_pay,cancelled
15,65,2026-08-06,card,cancelled
16,5,2026-03-30,card,completed
17,58,2025-10-31,card,completed
18,8,2026-03-08,bank_transfer,completed
19,6,2026-02-08,bank_transfer,completed
20,33,2026-05-25,naver_pay,completed
21,145,2026-09-02,bank_transfer,cancelled
22,66,2026-08-08,kakao_pay,completed
23,30,2026-03-18,bank_transfer,completed
24,28,2026-06-22,card,completed
25,148,2025-11-19,naver_pay,cancelled
26,51,2026-03-09,card,refunded
27,63,2025-11-28,card,completed
28,31,2026-07-02,card,completed
29,137,2026-04-11,naver_pay,completed
30,18,2026-05-31,kakao_pay,completed
31,108,2026-01-03,naver_pay,completed
32,111,2026-05-18,kakao_pay,cancelled
33,40,2026-07-31,naver_pay,completed
34,134,2026-09-13,kakao_pay,refunded
35,138,2026-04-18,naver_pay,cancelled
36,112,2026-07-18,kakao_pay,completed
37,63,2026-03-27,card,completed
38,116,2026-03-20,bank_transfer,cancelled
39,146,2026-03-09,naver_pay,completed
40,8,2026-08-07,naver_pay,completed
41,47,2026-07-01,naver_pay,completed
42,91,2026-05-09,kakao_pay,completed
43,72,2026-01-03,kakao_pay,refunded
44,3,2026-01-24,bank_transfer,completed
45,62,2026-08-17,naver_pay,cancelled
46,143,2025-12-25,bank_transfer,cancelled
47,126,2026-08-09,naver_pay,completed
48,24,2026-09-18,kakao_pay,completed
49,104,2025-10-24,bank_transfer,completed
50,149,2026-01-07,kakao_pay,cancelled
51,142,2026-08-29,kakao_pay,cancelled
52,141,2026-03-15,kakao_pay,completed
53,117,2025-12-24,kakao_pay,completed
54,65,2026-07-09,bank_transfer,completed
55,50,2026-03-20,kakao_pay,completed
56,138,2026-04-30,bank_transfer,completed
57,56,2026-05-16,naver_pay,completed
58,135,2026-06-07,kakao_pay,completed
59,50,2026-02-15,kakao_pay,completed
60,93,2026-01-29,bank_transfer,completed
61,4,2025-10-02,bank_transfer,completed
62,12,2026-03-31,card,refunded
63,75,2026-08-17,bank_transfer,cancelled
64,27,2026-01-25,card,refunded
65,73,2025-11-30,naver_pay,cancelled
66,113,2026-03-29,kakao_pay,completed
67,14,2025-12-12,kakao_pay,cancelled
68,30,2026-02-05,card,cancelled
69,126,2026-07-27,card,refunded
70,14,2025-12-30,bank_transfer,completed
71,145,2026-01-31,kakao_pay,completed
72,64,2026-01-07,card,refunded
73,107,2026-08-28,bank_transfer,refunded
74,98,2026-05-10,naver_pay,cancelled
75,77,2026-06-20,naver_pay,completed
76,146,2026-08-28,card,refunded
77,26,2026-01-06,bank_transfer,completed
78,68,2026-04-24,card,completed
79,62,2025-09-24,bank_transfer,refunded
80,20,2026-04-09,bank_transfer,completed
81,105,2025-12-04,naver_pay,refunded
82,121,2025-10-24,kakao_pay,completed
83,60,2025-12-23,kakao_pay,completed
84,117,2026-06-27,card,completed
85,68,2026-02-25,bank_transfer,cancelled
86,30,2026-03-29,bank_transfer,completed
87,69,2026-04-24,bank_transfer,completed
88,16,2026-07-12,bank_transfer,completed
89,146,2025-12-23,kakao_pay,cancelled
90,32,2026-06-16,naver_pay,completed
91,104,2026-03-24,kakao_pay,refunded
92,139,2026-05-29,naver_pay,cancelled
93,21,2026-06-24,card,cancelled
94,83,2026-03-30,kakao_pay,completed
95,24,2026-03-14,bank_transfer,refunded
96,6,2026-07-25,kakao_pay,refunded
97,11,2025-09-27,bank_transfer,cancelled
98,133,2025-10-27,naver_pay,completed
99,47,2026-01-13,naver_pay,cancelled
100,24,2025-12-16,naver_pay,completed
101,105,2026-02-25,kakao_pay,completed
102,27,2026-06-16,bank_transfer,completed
103,106,2025-12-24,naver_pay,completed
104,103,2026-01-17,card,cancelled
105,23,2026-06-05,kakao_pay,completed
106,83,2026-05-04,card,cancelled
107,132,2026-02-11,card,refunded
108,119,2026-03-23,naver_pay,completed
109,49,2026-04-23,kakao_pay,refunded
110,128,2026-04-15,naver_pay,completed
111,53,2026-02-01,kakao_pay,refunded
112,34,2026-03-05,kakao_pay,cancelled
113,125,2026-07-07,card,completed
114,62,2026-04-22,bank_transfer,completed
115,142,2026-01-27,card,refunded
116,105,2026-02-04,card,completed
117,30,2026-06-20,naver_pay,completed
118,40,2026-03-16,naver_pay,completed
119,131,2026-01-04,kakao_pay,cancelled
120,124,2026-01-18,naver_pay,completed
121,117,2025-12-27,bank_transfer,cancelled
122,49,2025-12-19,bank_transfer,completed
123,71,2025-11-06,naver_pay,completed
124,130,2026-06-28,kakao_pay,completed
125,73,2025-12-04,kakao_pay,refunded
126,149,2026-01-21,naver_pay,completed
127,115,2025-11-06,naver_pay,completed
128,86,2026-07-06,naver_pay,cancelled
129,83,2026-04-17,bank_transfer,completed
130,147,2026-07-14,naver_pay,completed
131,106,2026-06-16,card,completed
132,122,2025-12-01,naver_pay,cancelled
133,39,2025-12-04,naver_pay,completed
134,33,2025-12-14,kakao_pay,completed
135,113,2026-07-04,card,refunded
136,117,2026-03-28,card,completed
137,105,2026-01-06,bank_transfer,completed
138,121,2026-06-29,kakao_pay,completed
139,102,2026-05-07,card,completed
140,137,2026-07-13,naver_pay,completed
141,125,2026-04-12,card,refunded
142,18,2026-05-10,bank_transfer,completed
143,59,2026-01-08,card,cancelled
144,26,2025-10-30,card,cancelled
145,43,2026-08-10,kakao_pay,completed
146,12,2025-12-05,kakao_pay,completed
147,76,2026-01-14,kakao_pay,completed
148,111,2025-12-18,bank_transfer,completed
149,136,2026-02-08,naver_pay,refunded
150,47,2025-11-29,bank_transfer,completed
151,21,2026-01-16,naver_pay,refunded
152,62,2025-09-26,naver_pay,refunded
153,37,2026-06-22,bank_transfer,cancelled
154,66,2026-04-16,naver_pay,completed
155,3,2025-11-09,naver_pay,completed
156,140,2026-01-05,bank_transfer,completed
157,114,2025-10-08,kakao_pay,refunded
158,77,2025-10-12,naver_pay,completed
159,117,2026-04-23,kakao_pay,completed
160,99,2026-01-12,naver_pay,completed
161,61,2026-06-18,naver_pay,refunded
162,92,2025-11-09,kakao_pay,completed
163,6,2026-05-26,naver_pay,completed
164,3,2026-08-24,card,refunded
165,128,2026-07-10,kakao_pay,completed
166,91,2026-03-30,bank_transfer,completed
167,65,2025-10-30,bank_transfer,completed
168,11,2026-08-25,kakao_pay,cancelled
169,9,2025-09-25,kakao_pay,completed
170,24,2026-05-01,kakao_pay,completed
171,107,2026-01-09,bank_transfer,completed
172,34,2026-03-22,kakao_pay,refunded
173,129,2026-03-25,kakao_pay,completed
174,66,2026-03-11,naver_pay,completed
175,87,2026-01-31,card,cancelled
176,20,2025-12-01,bank_transfer,completed
177,102,2025-10-10,kakao_pay,completed
178,102,2025-12-28,card,completed
179,138,2026-09-21,card,cancelled
180,95,2026-08-21,kakao_pay,refunded
181,98,2026-03-25,kakao_pay,completed
182,60,2025-11-04,naver_pay,completed
183,144,2026-08-06,kakao_pay,refunded
184,57,2025-10-16,card,cancelled
185,78,2026-02-23,naver_pay,completed
186,36,2026-03-30,card,completed
187,78,2025-10-19,naver_pay,completed
188,25,2026-05-03,bank_transfer,refunded
189,35,2026-05-23,naver_pay,cancelled
190,95,2026-06-14,naver_pay,refunded
191,40,2025-10-11,naver_pay,completed
192,126,2025-11-18,naver_pay,completed
193,9,2025-11-17,kakao_pay,completed
194,114,2026-08-02,naver_pay,completed
195,93,2026-04-27,card,completed
196,140,2026-01-16,kakao_pay,completed
197,102,2025-10-24,kakao_pay,completed
198,32,2025-12-26,naver_pay,completed
199,55,2025-11-06,card,completed
200,86,2026-04-25,bank_transfer,completed
201,145,2026-07-14,bank_transfer,completed
202,142,2026-03-01,bank_transfer,refunded
203,56,2026-05-14,bank_transfer,completed
204,38,2026-05-10,card,completed
205,38,2026-07-25,bank_transfer,refunded
206,65,2026-05-19,bank_transfer,completed
207,7,2025-12-17,bank_transfer,completed
208,92,2026-07-19,bank_transfer,refunded
209,83,2026-04-11,card,completed
210,68,2026-02-15,card,completed
211,108,2026-03-14,card,completed
212,122,2026-09-08,naver_pay,completed
213,132,2026-03-11,card,cancelled
214,129,2026-01-14,bank_transfer,refunded
215,12,2026-08-21,kakao_pay,cancelled
216,8,2026-05-07,card,cancelled
217,103,2026-03-06,naver_pay,completed
218,126,2026-01-17,naver_pay,completed
219,21,2026-04-29,kakao_pay,refunded
220,38,2026-05-20,card,completed
221,71,2025-10-14,kakao_pay,cancelled
222,136,2026-05-15,kakao_pay,cancelled
223,130,2026-07-05,naver_pay,completed
224,30,2025-10-29,bank_transfer,cancelled
225,116,2026-07-14,bank_transfer,cancelled
226,87,2025-12-10,naver_pay,cancelled
227,107,2026-05-21,card,completed
228,110,2025-12-11,kakao_pay,completed
229,96,2026-01-01,bank_transfer,cancelled
230,18,2026-06-04,card,completed
231,24,2025-10-22,naver_pay,completed
232,96,2025-11-20,bank_transfer,refunded
233,16,2025-12-23,kakao_pay,completed
234,106,2025-11-27,kakao_pay,cancelled
235,14,2026-04-23,kakao_pay,refunded
236,80,2025-10-20,kakao_pay,completed
237,148,2025-11-20,bank_transfer,completed
238,124,2025-09-22,bank_transfer,completed
239,90,2026-02-26,kakao_pay,completed
240,72,2026-03-14,bank_transfer,cancelled
241,144,2026-06-15,card,refunded
242,69,2026-05-09,card,completed
243,70,2026-03-22,kakao_pay,completed
244,90,2026-01-12,card,completed
245,37,2025-10-03,naver_pay,completed
246,37,2025-12-19,card,completed
247,136,2026-01-10,bank_transfer,cancelled
248,108,2026-06-22,naver_pay,completed
249,41,2026-01-08,kakao_pay,completed
250,84,2026-06-21,card,completed
251,40,2026-08-20,bank_transfer,refunded
252,13,2026-03-16,card,completed
253,114,2025-10-18,naver_pay,cancelled
254,114,2026-06-14,naver_pay,completed
255,56,2025-12-20,card,completed
256,111,2026-09-14,card,completed
257,125,2026-01-01,kakao_pay,completed
258,57,2026-07-23,naver_pay,refunded
259,15,2026-07-25,card,completed
260,78,2026-05-21,bank_transfer,completed
261,66,2026-05-08,kakao_pay,completed
262,31,2026-06-04,card,cancelled
263,111,2026-07-30,bank_transfer,completed
264,98,2026-09-18,bank_transfer,refunded
265,144,2025-12-06,kakao_pay,completed
266,102,2026-03-05,card,cancelled
267,5,2025-11-04,naver_pay,completed
268,81,2026-04-20,naver_pay,refunded
269,104,2025-12-17,naver_pay,completed
270,30,2026-05-30,naver_pay,completed
271,84,2025-11-17,bank_transfer,refunded
272,118,2026-09-08,kakao_pay,completed
273,112,2026-01-02,card,completed
274,112,2026-08-08,naver_pay,refunded
275,21,2025-11-15,naver_pay,completed
276,87,2025-10-18,bank_transfer,completed
277,44,2025-10-14,card,refunded
278,30,2025-11-24,bank_transfer,completed
279,90,2026-07-25,bank_transfer,completed
280,27,2026-01-18,bank_transfer,completed
281,51,2026-05-10,bank_transfer,refunded
282,40,2026-07-08,card,completed
283,127,2026-08-07,naver_pay,refunded
284,149,2026-04-30,naver_pay,refunded
285,83,2026-09-13,kakao_pay,completed
286,113,2026-01-11,card,cancelled
287,114,2026-03-10,kakao_pay,completed
288,15,2025-11-08,kakao_pay,refunded
289,19,2026-03-22,kakao_pay,cancelled
290,116,2026-06-15,card,completed
291,95,2026-01-17,kakao_pay,completed
292,24,2026-06-19,naver_pay,cancelled
293,149,2026-02-24,card,cancelled
294,147,2026-01-04,bank_transfer,completed
295,122,2026-04-03,bank_transfer,completed
296,116,2026-04-18,card,completed
297,22,2026-03-31,bank_transfer,completed
298,64,2026-03-10,naver_pay,cancelled
299,135,2025-10-22,bank_transfer,completed
300,96,2026-05-11,kakao_pay,cancelled
